locale,path,old_url,old_status,old_title,new_title,title_changed,old_description,new_description,description_changed,old_canonical,new_canonical,canonical_self_referencing,new_og_title,new_og_description,new_og_image,new_og_url,old_robots,new_robots,indexable,lang,old_hreflang,new_hreflang,new_jsonld_types
de,/,https://www.ameland-residence.de/,200,Suchen Sie ein Luxusferienhaus auf Ameland? | Ameland Residence,Suchen Sie ein Luxusferienhaus auf Ameland? | Ameland Residence,no,Möchten Sie ein Ferienhaus auf Ameland mieten? Jede Villa verfügt über luxuriöse Einrichtungen ✔️ Sauna ✔️ Solarium ✔️ Luxuriöses Badezimmer,Möchten Sie ein Ferienhaus auf Ameland mieten? Jede Villa verfügt über luxuriöse Einrichtungen ✔️ Sauna ✔️ Solarium ✔️ Luxuriöses Badezimmer,no,,https://ameland-residence.de,NO,Suchen Sie ein Luxusferienhaus auf Ameland? | Ameland Residence,Möchten Sie ein Ferienhaus auf Ameland mieten? Jede Villa verfügt über luxuriöse Einrichtungen ✔️ Sauna ✔️ Solarium ✔️ Luxuriöses Badezimmer,https://ameland-residence.de/media/ameland-residence-20260730-b206f2-header-home-ameland-residence-desktop01.jpg,https://ameland-residence.de,"index, follow",,yes,de,,nl-NL de-DE x-default,Organization WebSite
de,/allgemeine-geschaftsbedingungen,https://www.ameland-residence.de/allgemeine-geschaftsbedingungen,200,Allgemeine Geschäftsbedingungen von Ameland Residence,,,Sehen Sie sich die Allgemeinen Geschäftsbedingungen für die Buchung einer Luxusferienvilla in der Ameland Residence an.,,,,,,,,,,"index, follow",(none = indexable),,,,,
de,/allgemeine-geschaftsbedingungen-watersnip,https://www.ameland-residence.de/allgemeine-geschaftsbedingungen-watersnip,200,Allgemeine Geschäftsbedingungen Watersnip | Ameland Residence,,,Lesen Sie hier die Allgemeinen Geschäftsbedingungen für den Luxusbungalow Watersnip auf Ameland,,,,,,,,,,"index, follow",(none = indexable),,,,,
de,/allgemeine-geschaftsbedingungen-zilt-stern-zee-und-nova,https://www.ameland-residence.de/allgemeine-geschaftsbedingungen-zilt-stern-zee-und-nova,200,"Allgemeine Geschäftsbedingungen Zilt, Stern, Zee und Nova",,,"Allgemeine Geschäftsbedingungen der Luxusvillen Zilt, Stern, Zee und Nova auf Ameland | Ameland Residence",,,,,,,,,,"index, follow",(none = indexable),,,,,
de,/ameland-mit-hund,https://www.ameland-residence.de/ameland-mit-hund,200,Ameland mit hund,,,Möchten Sie ein Ferienhaus mit Sauna auf Ameland mieten? Sauna ✔️ Geräumige Terrasse ✔️ Badezimmer mit Badewanne ✔️ Solarium,,,,,,,,,,"index, follow",(none = indexable),,,,,
de,/blogs,https://www.ameland-residence.de/blogs,200,Blogs,,,,,,,,,,,,,"index, follow",(none = indexable),,,,,
de,/blogs/ameland-mit-hund-ein-unvergesslicher-urlaub-fur-sie-und-ihren-vierbeinigen-freund,https://www.ameland-residence.de/blogs/ameland-mit-hund-ein-unvergesslicher-urlaub-fur-sie-und-ihren-vierbeinigen-freund,200,Ameland mit Hund: ein unvergesslicher Urlaub für Sie und Ihren vierbeinigen Freund,,,"Ameland mit Hund: genießen Sie Strandspaziergänge, Freilaufflächen und hundefreundliche Restaurants. Entdecken Sie den Luxus im Bungalow Watersnip!",,,,,,,,,,"index, follow",(none = indexable),,,,,
de,/blogs/ameland-saisonfuhrer,https://www.ameland-residence.de/blogs/ameland-saisonfuhrer,200,Ameland Saisonführer,,,"Der Frühling ist eine wunderbare Zeit, um auf Ameland zu sein. ",,,,,,,,,,"index, follow",(none = indexable),,,,,
de,/blogs/auf-reisen-nach-ameland-luxus-cottages-fur-einen-unvergesslichen-urlaub,https://www.ameland-residence.de/blogs/auf-reisen-nach-ameland-luxus-cottages-fur-einen-unvergesslichen-urlaub,200,Auf Reisen nach Ameland: Luxus-Cottages für einen unvergesslichen Urlaub,,,"Luxus-Cottages auf Ameland: Erleben Sie ultimativen Komfort, stilvolles Design und Ruhe. Entdecken Sie den einzigartigen Charme von Ameland bei Ameland Residence.",,,,,,,,,,"index, follow",(none = indexable),,,,,
de,/blogs/bungalow-ameland-erleben-sie-den-luxus-von-bungalow-watersnip,https://www.ameland-residence.de/blogs/bungalow-ameland-erleben-sie-den-luxus-von-bungalow-watersnip,200,Bungalow Ameland: Erleben Sie den Luxus von Bungalow Watersnip,,,Bungalow Ameland? Genießen Sie Luxus und Komfort im Bungalow Watersnip. Entdecken Sie die Natur und buchen Sie Ihren Aufenthalt in der Ameland Residence!,,,,,,,,,,"index, follow",(none = indexable),,,,,
de,/blogs/das-ameland-verkehrsnetz-seine-moglichkeiten,https://www.ameland-residence.de/blogs/das-ameland-verkehrsnetz-seine-moglichkeiten,200,Das Ameland Verkehrsnetz & seine Möglichkeiten,,,Ameland Transport: Entdecken Sie alle Transportmöglichkeiten auf Ameland und wohnen Sie in Luxus in der Ameland Residence mit Ladestationen und Parkmöglichkeiten.,,,,,,,,,,"index, follow",(none = indexable),,,,,
de,/blogs/das-wetter-auf-ameland-alles-uber-das-wattklima,https://www.ameland-residence.de/blogs/das-wetter-auf-ameland-alles-uber-das-wattklima,200,Das Wetter auf Ameland: Alles über das Wattklima,,,"Das Wetter auf Ameland bietet einzigartige Erlebnisse aufgrund des Meeresklimas: mehr Sonne, milde Temperaturen und schnelle Wetterveränderungen. Lesen Sie schnell weiter.",,,,,,,,,,"index, follow",(none = indexable),,,,,
de,/blogs/dorfer-auf-ameland-entdecken-sie-die-authentische-atmosphare-von-ameland,https://www.ameland-residence.de/blogs/dorfer-auf-ameland-entdecken-sie-die-authentische-atmosphare-von-ameland,200,Dörfer auf Ameland – Entdecken Sie die authentische Atmosphäre von Ameland,,,"Dörfer auf Ameland: Entdecken Sie den Charme von Hollum, Nes, Ballum und Buren. Übernachten Sie luxuriös bei Ameland Residence, in der Nähe von Natur, Strand und authentischen Dörfern.",,,,,,,,,,"index, follow",(none = indexable),,,,,
de,/blogs/einen-uxusurlaub-auf-ameland,https://www.ameland-residence.de/blogs/einen-uxusurlaub-auf-ameland,200,Einen Luxusurlaub auf Ameland,,,Erleben Sie einen Luxusurlaub auf Ameland in den einzigartigen Villen der Ameland Residence,,,,,,,,,,"index, follow",(none = indexable),,,,,
